snippet_id,cc_total,mi
exp_0_HumanEval/0,12,55.542105724535425
exp_0_HumanEval/1,6,49.57303728507428
exp_0_HumanEval/2,5,64.79305725308157
exp_0_HumanEval/3,10,54.366040439081836
exp_0_HumanEval/4,6,61.7676104844483
exp_0_HumanEval/5,6,61.47092261374609
exp_0_HumanEval/6,7,83.1210010773519
exp_0_HumanEval/7,8,63.39974359951962
exp_0_HumanEval/8,7,59.397541781676736
exp_0_HumanEval/9,7,60.80883741605831
exp_0_HumanEval/10,12,52.54910670821431
exp_0_HumanEval/11,5,64.71354490773263
exp_0_HumanEval/12,6,64.22776828130313
exp_0_HumanEval/13,7,62.77594718764167
exp_0_HumanEval/14,6,64.579041983756
exp_0_HumanEval/15,6,66.30629883759347
exp_0_HumanEval/16,7,62.32803225006178
exp_0_HumanEval/17,7,62.88433741822442
exp_0_HumanEval/18,6,64.60145798637839
exp_0_HumanEval/19,7,61.52864521531278
exp_0_HumanEval/20,11,53.59166612840168
exp_0_HumanEval/21,8,59.39686372066753
exp_0_HumanEval/22,7,66.65547753010898
exp_0_HumanEval/23,5,67.82742192357686
exp_0_HumanEval/24,9,60.10613697166533
exp_0_HumanEval/25,13,50.25504370898268
exp_0_HumanEval/26,5,38.61805728726085
exp_0_HumanEval/27,6,67.69291899960024
exp_0_HumanEval/28,5,66.9244833780622
exp_0_HumanEval/29,6,69.50321818174558
exp_0_HumanEval/30,8,62.94067992656165
exp_0_HumanEval/31,18,50.4738777526029
exp_0_HumanEval/32,11,49.942913458942975
exp_0_HumanEval/33,11,53.67181638652933
exp_0_HumanEval/34,3,76.55471099040834
exp_0_HumanEval/35,4,68.99926815486252
exp_0_HumanEval/36,14,53.914749599234135
exp_0_HumanEval/37,9,58.23114278879002
exp_0_HumanEval/38,12,76.57169154416931
exp_0_HumanEval/39,14,53.88068538512869
exp_0_HumanEval/40,11,73.18108360935886
exp_0_HumanEval/41,7,82.28439770807806
exp_0_HumanEval/42,6,67.30445109119393
exp_0_HumanEval/43,11,72.45360151395398
exp_0_HumanEval/44,15,51.15845468628039
exp_0_HumanEval/45,5,66.43225274485785
exp_0_HumanEval/46,6,85.07654761218542
exp_0_HumanEval/47,8,57.27349800971293
exp_0_HumanEval/48,9,59.94918644026558
exp_0_HumanEval/49,9,61.38734217850669
exp_0_HumanEval/50,8,57.829436172777896
exp_0_HumanEval/51,11,59.77348576877196
exp_0_HumanEval/52,10,64.328863602317
exp_0_HumanEval/53,9,59.38887493948038
exp_0_HumanEval/54,9,61.07769053730376
exp_0_HumanEval/55,8,59.63595158624024
exp_0_HumanEval/56,18,52.1410810760207
exp_0_HumanEval/57,13,57.468145259343196
exp_0_HumanEval/58,6,65.3960063013103
exp_0_HumanEval/59,7,55.57415277944347
exp_0_HumanEval/60,7,63.62111285961368
exp_0_HumanEval/61,18,52.1410810760207
exp_0_HumanEval/62,8,61.977654082701214
exp_0_HumanEval/63,12,53.85770801309114
exp_0_HumanEval/64,12,74.13938984943515
exp_0_HumanEval/65,8,80.09157944606096
exp_0_HumanEval/66,14,79.34592109193899
exp_0_HumanEval/67,9,75.39547316281627
exp_0_HumanEval/68,16,78.0054771274609
exp_0_HumanEval/69,27,67.55020273057322
exp_0_HumanEval/70,13,73.28445015784092
exp_0_HumanEval/71,14,72.63284820401836
exp_0_HumanEval/72,11,74.80622870839886
exp_0_HumanEval/73,92,35.480412870829085
exp_0_HumanEval/74,17,70.02323583146564
exp_0_HumanEval/75,16,51.50080489329144
exp_0_HumanEval/76,13,74.53969968046825
exp_0_HumanEval/77,10,78.55078511062634
exp_0_HumanEval/78,11,75.9903970636982
exp_0_HumanEval/79,7,86.26410429704482
exp_0_HumanEval/80,13,69.13155222450061
exp_0_HumanEval/81,22,61.2505952663505
exp_0_HumanEval/82,21,64.97926699105345
exp_0_HumanEval/83,12,82.13896429009284
exp_0_HumanEval/84,10,84.87171181155465
exp_0_HumanEval/85,7,92.47005312385046
exp_0_HumanEval/86,10,82.97614204558012
exp_0_HumanEval/87,11,71.29360599641267
exp_0_HumanEval/88,0,0
exp_0_HumanEval/89,10,54.478670522173424
exp_0_HumanEval/90,12,73.85620147467647
exp_0_HumanEval/91,9,85.54452387881187
exp_0_HumanEval/92,16,73.56828903787749
exp_0_HumanEval/93,9,77.16504663392865
exp_0_HumanEval/94,11,31.623627895124475
exp_0_HumanEval/95,13,68.96685398342076
exp_0_HumanEval/96,0,0
exp_0_HumanEval/97,10,78.77321386183283
exp_0_HumanEval/98,13,76.30664038748382
exp_0_HumanEval/99,7,89.11198712935109
exp_0_HumanEval/100,8,52.16796719545097
exp_0_HumanEval/101,10,83.60999722555601
exp_0_HumanEval/102,13,69.82038568353043
exp_0_HumanEval/103,15,70.33437161543313
exp_0_HumanEval/104,10,90.86342674375561
exp_0_HumanEval/105,81,43.894020047012866
exp_0_HumanEval/106,6,67.44688072439324
exp_0_HumanEval/107,10,32.15420229556721
exp_0_HumanEval/108,13,76.69797205667716
exp_0_HumanEval/109,91,41.98507496290508
exp_0_HumanEval/110,15,74.87578320545728
exp_0_HumanEval/111,12,74.6101799502947
exp_0_HumanEval/112,11,72.63710378879087
exp_0_HumanEval/113,7,89.05834383701416
exp_0_HumanEval/114,18,66.1361753063967
exp_0_HumanEval/115,9,39.6701922293138
exp_0_HumanEval/116,12,76.7862379791154
exp_0_HumanEval/117,13,75.46924128782612
exp_0_HumanEval/118,22,60.60027355288916
exp_0_HumanEval/119,14,79.22321004671801
exp_0_HumanEval/120,13,77.65552821368311
exp_0_HumanEval/121,12,82.01448648803117
exp_0_HumanEval/122,10,85.67149203489004
exp_0_HumanEval/123,9,74.4781924533998
exp_0_HumanEval/124,0,0
exp_0_HumanEval/125,14,55.23039722245889
exp_0_HumanEval/126,21,63.46992053104648
exp_0_HumanEval/127,12,75.18503308208861
exp_0_HumanEval/128,17,66.28778520514068
exp_0_HumanEval/129,24,70.82690398310015
exp_0_HumanEval/130,15,69.9001363702793
exp_0_HumanEval/131,12,80.97081191330581
exp_0_HumanEval/132,17,75.81482558896386
exp_0_HumanEval/133,16,73.00354000536048
exp_0_HumanEval/134,15,73.08618435879934
exp_0_HumanEval/135,7,91.65962978523154
exp_0_HumanEval/136,21,63.90746475844445
exp_0_HumanEval/137,13,74.32525406767223
exp_0_HumanEval/138,10,60.48860824455307
exp_0_HumanEval/139,7,84.77991667962408
exp_0_HumanEval/140,7,86.2446207322708
exp_0_HumanEval/141,32,55.33785473783128
exp_0_HumanEval/142,17,69.7706974746487
exp_0_HumanEval/143,11,82.92011688809762
exp_0_HumanEval/144,16,66.29100633344818
exp_0_HumanEval/145,9,82.40354863556998
exp_0_HumanEval/146,13,74.40937830616825
exp_0_HumanEval/147,6,80.17075395286383
exp_0_HumanEval/148,11,76.78567709318047
exp_0_HumanEval/149,11,83.71131782875985
exp_0_HumanEval/150,13,74.08649806401692
exp_0_HumanEval/151,14,80.59240343972354
exp_0_HumanEval/152,8,87.47158601501108
exp_0_HumanEval/153,16,70.17529806916647
exp_0_HumanEval/154,12,80.46490662767134
exp_0_HumanEval/155,13,70.98687459684471
exp_0_HumanEval/156,17,31.136702701159038
exp_0_HumanEval/157,14,72.58184093112595
exp_0_HumanEval/158,14,74.334126220079
exp_0_HumanEval/159,11,77.37673293674784
exp_0_HumanEval/160,13,67.89222730951921
exp_0_HumanEval/161,11,84.86538539745136
exp_0_HumanEval/162,8,84.63823016404464
exp_0_HumanEval/163,11,79.20838690940725
exp_1_HumanEval/0,12,55.542105724535425
exp_1_HumanEval/1,6,78.10349451373528
exp_1_HumanEval/2,5,64.79305725308157
exp_1_HumanEval/3,10,54.366040439081836
exp_1_HumanEval/4,6,61.7676104844483
exp_1_HumanEval/5,6,61.64473767337633
exp_1_HumanEval/6,6,81.86888383932174
exp_1_HumanEval/7,8,63.39974359951962
exp_1_HumanEval/8,7,59.397541781676736
exp_1_HumanEval/9,8,59.081473406593545
exp_1_HumanEval/10,12,53.80721249404505
exp_1_HumanEval/11,5,64.71354490773263
exp_1_HumanEval/12,6,64.22776828130313
exp_1_HumanEval/13,7,62.77594718764167
exp_1_HumanEval/14,6,64.579041983756
exp_1_HumanEval/15,6,66.30629883759347
exp_1_HumanEval/16,7,62.32803225006178
exp_1_HumanEval/17,7,62.88433741822442
exp_1_HumanEval/18,6,65.71333222262844
exp_1_HumanEval/19,7,61.52864521531278
exp_1_HumanEval/20,11,54.01778288745445
exp_1_HumanEval/21,9,57.56043032482468
exp_1_HumanEval/22,7,66.65547753010898
exp_1_HumanEval/23,5,67.82742192357686
exp_1_HumanEval/24,9,60.10613697166533
exp_1_HumanEval/25,14,48.440424769988496
exp_1_HumanEval/26,8,61.99932958459582
exp_1_HumanEval/27,5,66.9244833780622
exp_1_HumanEval/28,5,66.9244833780622
exp_1_HumanEval/29,6,69.50321818174558
exp_1_HumanEval/30,8,62.94067992656165
exp_1_HumanEval/31,18,50.4738777526029
exp_1_HumanEval/32,11,49.62442142010561
exp_1_HumanEval/33,11,54.38274064735322
exp_1_HumanEval/34,3,76.55471099040834
exp_1_HumanEval/35,4,68.99926815486252
exp_1_HumanEval/36,14,53.914749599234135
exp_1_HumanEval/37,9,59.32901480860449
exp_1_HumanEval/38,12,76.57169154416931
exp_1_HumanEval/39,14,53.88068538512869
exp_1_HumanEval/40,11,73.18108360935886
exp_1_HumanEval/41,7,82.28439770807806
exp_1_HumanEval/42,6,67.30445109119393
exp_1_HumanEval/43,16,62.233000112147764
exp_1_HumanEval/44,15,51.15845468628039
exp_1_HumanEval/45,5,66.43225274485785
exp_1_HumanEval/46,10,54.729289480082194
exp_1_HumanEval/47,8,56.75777085447221
exp_1_HumanEval/48,9,59.94918644026558
exp_1_HumanEval/49,9,61.38734217850669
exp_1_HumanEval/50,8,57.829436172777896
exp_1_HumanEval/51,11,60.4755612944388
exp_1_HumanEval/52,10,64.328863602317
exp_1_HumanEval/53,9,59.38887493948038
exp_1_HumanEval/54,9,61.07769053730376
exp_1_HumanEval/55,8,59.63595158624024
exp_1_HumanEval/56,18,52.1410810760207
exp_1_HumanEval/57,13,57.468145259343196
exp_1_HumanEval/58,6,65.3960063013103
exp_1_HumanEval/59,7,68.92937664929147
exp_1_HumanEval/60,7,63.62111285961368
exp_1_HumanEval/61,18,52.1410810760207
exp_1_HumanEval/62,8,61.977654082701214
exp_1_HumanEval/63,12,53.85770801309114
exp_1_HumanEval/64,12,74.13938984943515
exp_1_HumanEval/65,8,81.35832226323141
exp_1_HumanEval/66,14,79.34592109193899
exp_1_HumanEval/67,9,75.39547316281627
exp_1_HumanEval/68,16,78.0054771274609
exp_1_HumanEval/69,27,63.82826876892554
exp_1_HumanEval/70,12,77.19105121023617
exp_1_HumanEval/71,14,72.89921480029692
exp_1_HumanEval/72,11,74.80622870839886
exp_1_HumanEval/73,10,86.10086293676099
exp_1_HumanEval/74,15,71.82822110703077
exp_1_HumanEval/75,17,51.05311146583648
exp_1_HumanEval/76,13,74.83946258248491
exp_1_HumanEval/77,10,78.55078511062634
exp_1_HumanEval/78,11,75.9903970636982
exp_1_HumanEval/79,7,90.92110618159138
exp_1_HumanEval/80,13,69.13155222450061
exp_1_HumanEval/81,22,61.2505952663505
exp_1_HumanEval/82,21,65.61509512810959
exp_1_HumanEval/83,12,82.13896429009284
exp_1_HumanEval/84,10,85.91287453468824
exp_1_HumanEval/85,8,90.54537605818601
exp_1_HumanEval/86,10,82.27406651991329
exp_1_HumanEval/87,12,76.484884106643
exp_1_HumanEval/88,14,72.05629866554953
exp_1_HumanEval/89,12,72.43396358668404
exp_1_HumanEval/90,12,73.85620147467647
exp_1_HumanEval/91,11,79.22329578158495
exp_1_HumanEval/92,16,73.56828903787749
exp_1_HumanEval/93,9,77.16504663392865
exp_1_HumanEval/94,132,36.1555394694736
exp_1_HumanEval/95,21,64.41661828489696
exp_1_HumanEval/96,0,0
exp_1_HumanEval/97,10,78.77321386183283
exp_1_HumanEval/98,13,76.30664038748382
exp_1_HumanEval/99,7,92.09426852076584
exp_1_HumanEval/100,8,41.74211295875841
exp_1_HumanEval/101,10,83.60999722555601
exp_1_HumanEval/102,17,60.791915110525096
exp_1_HumanEval/103,15,71.01757128630535
exp_1_HumanEval/104,10,90.86342674375561
exp_1_HumanEval/105,0,0
exp_1_HumanEval/106,6,67.44688072439324
exp_1_HumanEval/107,10,32.15420229556721
exp_1_HumanEval/108,13,76.69797205667716
exp_1_HumanEval/109,0,0
exp_1_HumanEval/110,15,72.35414842775455
exp_1_HumanEval/111,10,81.62086253674524
exp_1_HumanEval/112,11,72.63710378879087
exp_1_HumanEval/113,7,89.05834383701416
exp_1_HumanEval/114,14,24.819899810321253
