snippet_id,cc_total,mi
exp_0_HumanEval/0,0,0
exp_0_HumanEval/1,0,0
exp_0_HumanEval/2,5,64.62757067977226
exp_0_HumanEval/3,11,52.420622376856
exp_0_HumanEval/4,6,57.494110946261074
exp_0_HumanEval/5,9,57.24003577428627
exp_0_HumanEval/6,0,0
exp_0_HumanEval/7,8,63.39974359951962
exp_0_HumanEval/8,8,56.54320580984786
exp_0_HumanEval/9,8,59.081473406593545
exp_0_HumanEval/10,11,51.77770619932408
exp_0_HumanEval/11,6,62.11196585192192
exp_0_HumanEval/12,8,59.2560823105146
exp_0_HumanEval/13,7,62.03849521543632
exp_0_HumanEval/14,6,64.579041983756
exp_0_HumanEval/15,5,66.44080176157009
exp_0_HumanEval/16,9,58.71168167605422
exp_0_HumanEval/17,11,56.00385915830369
exp_0_HumanEval/18,0,0
exp_0_HumanEval/19,7,60.91722764664106
exp_0_HumanEval/20,0,0
exp_0_HumanEval/21,8,59.39686372066753
exp_0_HumanEval/22,7,66.65547753010898
exp_0_HumanEval/23,5,67.82742192357686
exp_0_HumanEval/24,10,57.04243038413231
exp_0_HumanEval/25,0,0
exp_0_HumanEval/26,7,61.14479142987
exp_0_HumanEval/27,7,67.55841607562364
exp_0_HumanEval/28,5,66.9244833780622
exp_0_HumanEval/29,6,69.50321818174558
exp_0_HumanEval/30,8,62.94067992656165
exp_0_HumanEval/31,18,50.260736304181904
exp_0_HumanEval/32,8,53.93466793209672
exp_0_HumanEval/33,11,57.239001293629634
exp_0_HumanEval/34,3,76.55471099040834
exp_0_HumanEval/35,4,68.99926815486252
exp_0_HumanEval/36,0,0
exp_0_HumanEval/37,6,60.905726561794786
exp_0_HumanEval/38,12,76.57169154416931
exp_0_HumanEval/39,14,53.32930642334377
exp_0_HumanEval/40,16,51.27691514328426
exp_0_HumanEval/41,0,0
exp_0_HumanEval/42,6,67.30445109119393
exp_0_HumanEval/43,15,51.949048654674336
exp_0_HumanEval/44,10,59.781474549959135
exp_0_HumanEval/45,5,66.43225274485785
exp_0_HumanEval/46,7,59.40652827449934
exp_0_HumanEval/47,8,56.792793236034676
exp_0_HumanEval/48,9,59.94918644026558
exp_0_HumanEval/49,9,60.203524187930455
exp_0_HumanEval/50,8,57.78332237936903
exp_0_HumanEval/51,12,56.24891244625332
exp_0_HumanEval/52,10,64.328863602317
exp_0_HumanEval/53,9,59.38887493948038
exp_0_HumanEval/54,9,61.07769053730376
exp_0_HumanEval/55,8,59.63595158624024
exp_0_HumanEval/56,0,0
exp_0_HumanEval/57,13,56.901601885489825
exp_0_HumanEval/58,6,64.49306775579564
exp_0_HumanEval/59,0,0
exp_0_HumanEval/60,7,62.413318314805615
exp_0_HumanEval/61,0,0
exp_0_HumanEval/62,7,63.64263675407897
exp_0_HumanEval/63,11,55.16514369315962
exp_0_HumanEval/64,0,0
exp_0_HumanEval/65,8,81.09673296523312
exp_0_HumanEval/66,14,74.56366387223574
exp_0_HumanEval/67,10,74.090855408079
exp_0_HumanEval/68,20,63.532363221250854
exp_0_HumanEval/69,30,57.44151248110772
exp_0_HumanEval/70,0,0
exp_0_HumanEval/71,14,71.71298575332703
exp_0_HumanEval/72,11,76.78761502821045
exp_0_HumanEval/73,0,0
exp_0_HumanEval/74,17,70.02323583146564
exp_0_HumanEval/75,15,51.93961408049218
exp_0_HumanEval/76,15,73.5365193426505
exp_0_HumanEval/77,10,78.66845123726004
exp_0_HumanEval/78,0,0
exp_0_HumanEval/79,7,89.3839539944668
exp_0_HumanEval/80,14,68.4743497793989
exp_0_HumanEval/81,22,58.545500455061486
exp_0_HumanEval/82,21,64.97926699105345
exp_0_HumanEval/83,0,0
exp_0_HumanEval/84,12,75.13245486308048
exp_0_HumanEval/85,7,86.13623050168806
exp_0_HumanEval/86,11,76.94565804180154
exp_0_HumanEval/87,12,71.02968202274147
exp_0_HumanEval/88,13,70.96522975980032
exp_0_HumanEval/89,13,69.21550753154688
exp_0_HumanEval/90,15,69.13219125626348
exp_0_HumanEval/91,0,0
exp_0_HumanEval/92,16,73.56828903787749
exp_0_HumanEval/93,12,70.27318243899305
exp_0_HumanEval/94,15,80.64722226787399
exp_0_HumanEval/95,15,72.88334233666494
exp_0_HumanEval/96,17,51.034547571932535
exp_0_HumanEval/97,10,76.158686761466
exp_0_HumanEval/98,0,0
exp_0_HumanEval/99,10,71.86969577032288
exp_0_HumanEval/100,10,77.49759069962587
exp_0_HumanEval/101,10,83.60999722555601
exp_0_HumanEval/102,14,69.07219207482117
exp_0_HumanEval/103,16,67.69712582100583
exp_0_HumanEval/104,10,82.08750357264364
exp_0_HumanEval/105,12,77.44540225421608
exp_0_HumanEval/106,8,58.319590054734554
exp_0_HumanEval/107,0,0
exp_0_HumanEval/108,0,0
exp_0_HumanEval/109,10,79.51401391996687
